Id,Name,Name_Lang,Branche,Typ,Adresse,PLZ,Ort,Land,E-Mail,Tel,Fax,Pruefung
bundesschulen_bund_35_20-08-2020,HBLFA Tirol,Höhere Bundeslehr- und Forschungsanstalt für Landwirtschaft und Ernährung sowie Lebensmittel- und Biotechnologie Tirol,Bundesbehörde,Bundesschule,Rotholz 50,6200,Jenbach,Österreich,schule@hblfa-tirol.at,+43524462262,+43524462262930,20.08.2020
kammern_bund_1_18-08-2020,Bundeskammer der ZiviltechnikerInnen,Bundeskammer der ZiviltechnikerInnen,Interessensvertretung,Kammer,Karlsgasse 9/2,1040,Wien,Österreich,office@arching.at,+4315055807,+4315053211,18.08.2020
kammern_bund_2_18-08-2020,Kammer der Steuerberater und Wirtschaftsprüfer,Kammer der Steuerberater und Wirtschaftsprüfer,Interessensvertretung,Kammer,Schönbrunner Straße 222-228,1120,Wien,Österreich,office@ksw.or.at,+431811730,+43181173100,18.08.2020
kammern_bund_3_18-08-2020,Arbeiterkammer,Kammer für Arbeiter und Angestellte für Wien als Büro der Bundesarbeitskammer,Interessensvertretung,Kammer,Prinz-Eugen-Straße 20-22,1040,Wien,Österreich,akmailbox@akwien.at,+431501650,,18.08.2020
kammern_bund_4_18-08-2020,Apothekerkammer,Österreichische Apothekerkammer,Interessensvertretung,Kammer,Spitalgasse 31,1090,Wien,Österreich,info@apotheker.or.at,+43140414100,+4314088440,18.08.2020
kammern_bund_5_18-08-2020,Ärztekammer,Österreichische Ärztekammer,Interessensvertretung,Kammer,Weihburggasse 10-12,1010,Wien,Österreich,post@aerztekammer.at,+431514063000,+431514063042,18.08.2020
kammern_bund_6_18-08-2020,Notariatskammer,Österreichische Notariatskammer,Interessensvertretung,Kammer,Landesgerichtsstraße 20 ,1010,Wien,Österreich,kammer@notar.or.at,+43140245090,+4314063475,18.08.2020
kammern_bund_7_18-08-2020,Patentanwaltskammer,Österreichische Patentanwaltskammer,Interessensvertretung,Kammer,Linke Wienzeile 4/1/9,1060,Wien,Österreich,info@oepak.at,+4315234382,+438109554103327,18.08.2020
kammern_bund_8_18-08-2020,Tierärztekammer,Österreichische Tierärztekammer,Interessensvertretung,Kammer,Hietzinger Kai 87,1130,Wien,Österreich,oe@tieraerztekammer.at,+4315121766,+4315121470,18.08.2020
kammern_bund_9_18-08-2020,Zahnärztekammer,Österreichische Zahnärztekammer,Interessensvertretung,Kammer,Kohlmarkt 11/6,1010,Wien,Österreich,office@zahnaerztekammer.at,+4350511,+43505111167,18.08.2020
kammern_bund_10_18-08-2020,Österreichischer Landarbeiterkammertag,Österreichischer Landarbeiterkammertag,Interessensvertretung,Kammer,Marco d´Avianogasse 1/1,1015,Wien,Österreich,oelakt@landarbeiterkammer.at,+4315122331,+431512233170,18.08.2020
kammern_bund_11_18-08-2020,Österreichischer Rechtsanwaltskammertag,Österreichischer Rechtsanwaltskammertag,Interessensvertretung,Kammer,Wollzeile 1-3,1010,Wien,Österreich,rechtsanwaelte@oerak.at,+43153512750,+431535127513,18.08.2020
kammern_bund_12_18-08-2020,Pharmazeutische Gehaltskasse,Pharmazeutische Gehaltskasse für Österreich,Interessensvertretung,Kammer,Spitalgasse 31,1090,Wien,Österreich,office@gk.or.at,+43140414200,+43140414249,18.08.2020
kammern_bund_13_18-08-2020,Wirtschaftskammer,Wirtschaftskammer Österreich,Interessensvertretung,Kammer,Wiedner Hauptstraße 63,1045,Wien,Österreich,office@wko.at,+43590900,+43590900250,18.08.2020
staatsnahe_staatseigene_unternehmen_bund_1_21-08-2020,ASFINAG,Autobahnen- und Schnellstraßen Finanzierungs-Aktiengesellschaft,Infrastruktur,Dienstleister,"Rotenturmstraße 5-9, Postfach 983",1011,Wien Postfach,Österreich,office@asfinag.at,+435010810000,+435010810020,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_2_21-08-2020,BIG,Bundesimmobiliengesellschaft m.b.H.,Infrastruktur,Dienstleister,Trabrennstraße 2c,1020,Wien,Österreich,office@big.at,+43502440,+43502442211,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_3_21-08-2020,Österreichische Bundesforste,Österreichische Bundesforste AG,Infrastruktur,Dienstleister,Pummergasse 10-12 ,3002,Purkersdorf,Österreich,bundesforste@bundesforste.at,+4322316000,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_4_21-08-2020,GIS,GIS Gebühren Info Service GmbH,Infrastruktur,Dienstleister,"Faulmanngasse 4, Postfach 1000",1051,Wien Postfach,Österreich,kundenservice@gis.at,+4350200,+4350200300,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_5_21-08-2020,AMS,Arbeitsmarktservice,Sozialleistungen,Dienstleister,Treustraße 35-43,1200,Wien,Österreich,ams.oesterreich@ams.at,+4350904199,+4350904188,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_6_21-08-2020,Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,Sozialleistungen,Dienstleister,"Parlament, Dr.-Karl-Renner-Ring 3",1017,Wien-Parlament,Österreich,nf-sekretariat@nationalfonds.org,+4314081263,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_7_21-08-2020,Bundesbeschaffung,Bundesbeschaffung GmbH,Infrastruktur,Dienstleister,Lassallestraße 9b,1020,Wien,Österreich,office@bbg.gv.at,+431245700,+4312457099,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_8_21-08-2020,BRZ,Bundesrechenzentrum GmbH,Infrastruktur,Dienstleister,Hintere Zollamtsstraße 4,1030,Wien,Österreich,kommunikation@brz.gv.at,+431711230,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_9_21-08-2020,Bundesstelle für Sektenfragen,Bundesstelle für Sektenfragen,Infrastruktur,Dienstleister,Wollzeile 12/2/19,1010,Wien,Österreich,bundesstelle@sektenfragen.at,+4315130460,+431513046030,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_10_21-08-2020,ÖNB,Österreichische Nationalbibliothek,Bildung,Museum / Theater / Bibliothek,"Josefsplatz 1, Postfach 25",1015,Wien,Österreich,onb@onb.ac.at ,+43153410,+43153410280,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_11_21-08-2020,Volksoper,Volksoper Wien,Kultur,Museum / Theater / Bibliothek,Währinger Straße 78 ,1090,Wien,Österreich,office@volksoper.at,+431514440,+431514443215,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_12_21-08-2020,Bundestheater Holding,Bundestheater-Holding GmbH,Kultur,Museum / Theater / Bibliothek,Goethegasse 1,1010,Wien,Österreich,office@bundestheater.at,+431514440,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_13_21-08-2020,Burgtheater,Burgtheater GmbH,Kultur,Museum / Theater / Bibliothek,Universitätsring 2,1010,Wien,Österreich,info@burgtheater.at,+431514444545,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_14_21-08-2020,Kunsthistorisches Museum,Kunsthistorisches Museum,Bildung,Museum / Theater / Bibliothek,Burgring 5,1010,Wien,Österreich,info@khm.at,+431525240,+431525244099,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_15_21-08-2020,Naturhistorisches Museum,Naturhistorisches Museum Wien,Bildung,Museum / Theater / Bibliothek,Burgring 7,1010,Wien,Österreich,info@nhm-wien.ac.at,+431521770,+43152177578,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_16_21-08-2020,Technisches Museum,Technisches Museum Wien mit Österreichischer Mediathek,Bildung,Museum / Theater / Bibliothek,Mariahilfer Straße 212,1140,Wien,Österreich,museumsbox@tmw.at  ,+431899980,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_17_21-08-2020,Agentur für Passagier- und Fahrgastrechte,Österreichische Gesellschaft für Schienenmarktregulierung mit beschränkter Haftung,Interessensvertretung,Dienstleister,Linke Wienzeile 4/1/6,1060,Wien,Österreich,office@schienencontrol.gv.at,+4315050707,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_18_21-08-2020,Austria Wirtschaftsservice,Austria Wirtschaftsservice Gesellschaft m.b.H.,Wirtschaftsförderung,Dienstleister,Walcherstraße 11A,1020,Wien,Österreich,post@aws.at,+431501750,+43150175900,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_19_21-08-2020,Staatsoper,Wiener Staatsoper GmbH,Kultur,Museum / Theater / Bibliothek,Opernring 2,1010,Wien,Österreich,information@wiener-staatsoper.at,+431514442250,+431514442259,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_20_21-08-2020,ORF,Österreichischer Rundfunk,Infrastruktur,Öffentliches Unternehmen,Würzburggasse 30,1136,Wien,Österreich,kundendienst@orf.at,+431878780,+4318787830,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_21_21-08-2020,Spanische Hofreitschule – Lipizzanergestüt Piber,Spanische Hofreitschule – Lipizzanergestüt Piber,Bundesbehörde,Öffentliches Unternehmen,Michaelerplatz 1,1010,Wien,Österreich,office@srs.at,+4315339031,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_22_20-08-2020,AGES,Österreichische Agentur für Gesundheit und Ernährungssicherheit GmbH,Bundesbehörde,Öffentliches Unternehmen,Spargelfeldstrasse 191,1220,Wien,Österreich,management@ages.at,+43505550,+435055522019,20.08.2020
staatsnahe_staatseigene_unternehmen_bund_23_21-08-2020,Landwirtschaftliche Bundesversuchswirtschaften,Landwirtschaftliche Bundesversuchswirtschaften GmbH,Bundesbehörde,Öffentliches Unternehmen,Rottenhauserstraße 32,3250,Wieselburg,Österreich,office@bvw.at,+437416522410,+4374165224115,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_24_20-08-2020,LFRZ,"Land-, forst- und wasserwirtschaftliches Rechenzentrum GmbH",Infrastruktur,Dienstleister,Hintere Zollamtsstraße 4,1030,Wien,Österreich,office@lfrz.gv.at,+431331760,,20.08.2020
staatsnahe_staatseigene_unternehmen_bund_25_20-08-2020,WSR,Wirtschafts- und Sozialwissenschaftliches Rechenzentrum,Infrastruktur,Dienstleister,Arsenal Objekt 20,1030,Wien,Österreich,info@wsr.ac.at,+4317981122,+431798112250,20.08.2020
staatsnahe_staatseigene_unternehmen_bund_26_21-08-2020,ÖBAG,Österreichische Beteiligungs AG,Infrastruktur,Dienstleister,Kolingasse 14-16,1090,Wien,Österreich,kontakt@oebag.gv.at,+431711140,,21.08.2020
staatsnahe_staatseigene_unternehmen_bund_27_22-08-2020,OeSD,Österreichische Staatsdruckerei GmbH,Infrastruktur,Dienstleister,Tenschertstraße 7,1239,Wien,Österreich,office@staatsdruckerei.at,+431206660,+43120666100,22.08.2020
staatsnahe_staatseigene_unternehmen_bund_28_22-08-2020,Dorotheum,Dorotheum GmbH & Co KG,Wirtschaftsförderung,Dienstleister,Dorotheergasse 17,1010,Wien,Österreich,client.services@dorotheum.at,+431515600,+43151560443,22.08.2020
staatsnahe_staatseigene_unternehmen_bund_29_22-08-2020,Austria Tabak,JTI Austria GmbH,Erzeugung,Dienstleister,Erdberger Lände 26a/71,1030,Wien,Österreich,konsumentenservice@jti.com,+431313421,,22.08.2020
staatsnahe_staatseigene_unternehmen_bund_30_22-08-2020,Vamed,Vamed AG,Gesundheit,Dienstleister,Sterngasse 5,1230,Wien,Österreich,office@vamed.com,+431601270,+43160127108,22.08.2020
bundesbehoerden_bund_1_20-08-2020,"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz","Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz",Bundesbehörde,Bundesministerium,Stubenring 1,1010,Wien,Österreich,post@sozialministerium.at,+431711000,+4317158258,20.08.2020
bundesbehoerden_bund_2_20-08-2020,"Bundesministerium für Bildung, Wissenschaft und Forschung","Bundesministerium für Bildung, Wissenschaft und Forschung",Bundesbehörde,Bundesministerium,Minoritenplatz 5,1010,Wien,Österreich,ministerium@bmbwf.gv.at,+431531200,+431531203099,20.08.2020
bundesbehoerden_bund_3_20-08-2020,Bundesministerium für europäische und internationale Angelegenheiten,Bundesministerium für europäische und internationale Angelegenheiten,Bundesbehörde,Bundesministerium,Minoritenplatz 8,1010,Wien,Österreich,post@bmeia.gv.at,+43501150,+43501159,20.08.2020
bundesbehoerden_bund_4_20-08-2020,"Bundesministerium für Arbeit, Familie und Jugend","Bundesministerium für Arbeit, Familie und Jugend",Bundesbehörde,Bundesministerium,Untere Donaustraße 13 - 15,1020,Wien,Österreich,office@bmafj.gv.at,+431711000,,20.08.2020
bundesbehoerden_bund_5_20-08-2020,Bundesministerium für Finanzen,Bundesministerium für Finanzen,Bundesbehörde,Bundesministerium,Johannesgasse 5,1010,Wien,Österreich,post@bmf.gv.at,+431514330,,20.08.2020
bundesbehoerden_bund_6_20-08-2020,Bundesministerium für Inneres,Bundesministerium für Inneres,Bundesbehörde,Bundesministerium,Herrengasse 7,1010,Wien,Österreich,post@bmi.gv.at,+431531260,+43153126108613,20.08.2020
bundesbehoerden_bund_7_20-08-2020,Bundesministerium für Justiz,Bundesministerium für Justiz,Bundesbehörde,Bundesministerium,Museumstraße 7,1070,Wien,Österreich,post@bmj.gv.at,+4315263686,,20.08.2020
bundesbehoerden_bund_8_20-08-2020,"Bundesministerium für Landwirtschaft, Regionen und Tourismus","Bundesministerium für Landwirtschaft, Regionen und Tourismus",Bundesbehörde,Bundesministerium,Stubenring 1,1010,Wien,Österreich,office@bmlrt.gv.at,+431711000,+43171100606503,20.08.2020
bundesbehoerden_bund_9_20-08-2020,Bundesministerium für Landesverteidigung,Bundesministerium für Landesverteidigung,Bundesbehörde,Bundesministerium,Roßauer Lände 1,1090,Wien,Österreich,buergerservice@bmlv.gv.at,+43502011021160,,20.08.2020
bundesbehoerden_bund_10_20-08-2020,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie","Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",Bundesbehörde,Bundesministerium,Radetzkystraße 2,1030,Wien,Österreich,servicebuero@bmk.gv.at,+43171162650,,20.08.2020
bundesbehoerden_bund_11_20-08-2020,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport","Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",Bundesbehörde,Bundesministerium,Radetzkystraße 2,1030,Wien,Österreich,buergerservice@bmkoes.gv.at,+431716060,,20.08.2020
bundesbehoerden_bund_12_20-08-2020,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesbehörde,Bundesministerium,Stubenring 1,1010,Wien,Österreich,service@bmdw.gv.at,+431711000,,20.08.2020
bundesbehoerden_bund_13_20-08-2020,Sozialministeriumservice,Bundesamt für Soziales und Behindertenwesen – Sozialministeriumservice,Bundesbehörde,Bundesbehörde,Babenbergerstraße 5,1010,Wien,Österreich,post@sozialministeriumservice.at,+4359988,+431588312266,20.08.2020
bundesbehoerden_bund_14_20-08-2020,Beschussamt Wien,Beschussamt Wien,Bundesbehörde,Bundesbehörde,Wielandweg 27,1220,Wien,Österreich,office-wien@beschussamt.gv.at,+43173462680,+431734626812,20.08.2020
bundesbehoerden_bund_15_20-08-2020,Beschussamt Ferlach,Beschussamt Ferlach,Bundesbehörde,Bundesbehörde,Maschinenhausgasse 3-4,9170,Ferlach,Österreich,office-ferlach@beschussamt.gv.at,+4342272576,+4342274174,20.08.2020
bundesbehoerden_bund_16_20-08-2020,Bundeskanzleramt,Bundeskanzleramt,Bundesbehörde,Bundesbehörde,Ballhausplatz 2,1010,Wien,Österreich,service@bka.gv.at,+431531150,+43153115204274,20.08.2020
bundesbehoerden_bund_17_20-08-2020,Datenschutzbehörde,Österreichische Datenschutzbehörde,Bundesbehörde,Bundesbehörde,Barichgasse 40-42,1030,Wien,Österreich,dsb@dsb.gv.at,+431521522569,,20.08.2020
bundesbehoerden_bund_18_20-08-2020,KommAustria,KommAustria,Bundesbehörde,Nachgeordnete Behörde,Mariahilfer Straße 77-79,1060,Wien,Österreich,rtr@rtr.at,+431580580,+431580589191,20.08.2020
bundesbehoerden_bund_19_20-08-2020,RTR,Rundfunk und Telekom Regulierungs-GmbH,Bundesbehörde,Nachgeordnete Behörde,Mariahilfer Straße 77-79,1060,Wien,Österreich,rtr@rtr.at,+431580580,+431580589191,20.08.2020
bundesbehoerden_bund_20_20-08-2020,Bundesverwaltungsgericht,Bundesverwaltungsgericht,Bundesbehörde,Gericht,Erdbergstraße 192-196,1030,Wien,Österreich,einlaufstelle@bvwg.gv.at,+431601490,+431711238891541,20.08.2020
bundesbehoerden_bund_21_20-08-2020,Verwaltungsgerichtshof,Verwaltungsgerichtshof,Bundesbehörde,Gericht,"Judenplatz 11, Postfach 50",1016,Wien,Österreich,office@vwgh.gv.at,+431531110,+43153111101508,20.08.2020
bundesbehoerden_bund_22_20-08-2020,Oberster Gerichtshof,Oberster Gerichtshof,Bundesbehörde,Gericht,Schmerlingplatz 11,1010,Wien,Österreich,christoph.brenn@justiz.gv.at,+431521520,+431521523710,20.08.2020
