status,id,display_name,legal_name,url,department,street_address,city,neighbourhood,postal_code,region,country,requires_identification,operating_countries,custom_identifier,identifiers,generic_url,generic_email,generic_note,access_url,access_email,access_note,deletion_url,deletion_email,deletion_note,portability_url,portability_email,portability_note,correction_url,correction_email,correction_note
,,HK-SKA,HK-SKA Betriebs-GmbH,,,Gartenstraße 9,Bad Ischl,,4820,Oberösterreich,AUSTRIA,,,sozialversicherung_bund_25_20-08-2020,,,info@herzreha.at,"Phone: +436132278010, Fax: +436132278018190",,,,,,,,,,,,
,,IEF-Service,IEF-Service GmbH,,,Linke Wienzeile 246,Wien,,1150,Wien,AUSTRIA,,,sozialversicherung_bund_26_20-08-2020,,,office@insolvenzentgelt.at,"Phone: +43120512120, Fax: ",,,,,,,,,,,,
,,IT-Services der Sozialversicherung,IT-Services der Sozialversicherung GmbH,,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,sozialversicherung_bund_27_20-08-2020,,,office@itsv.at,"Phone: +43501248445600, Fax: +43501248445080",,,,,,,,,,,,
,,SVC,Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft m.b.H.,,,Ernst-Melchior-Gasse 22,Wien,,1020,Wien,AUSTRIA,,,sozialversicherung_bund_28_20-08-2020,,,info@svc.co.at,"Phone: +43501247140, Fax: +43501247143776",,,,,,,,,,,,
,,SVD,SVD Büromanagement GmbH,,,Dresdner Straße 45,Wien,,1200,Wien,AUSTRIA,,,sozialversicherung_bund_29_20-08-2020,,,office@svdgmbh.at,"Phone: +4317981414, Fax: +4317981414200",,,,,,,,,,,,
,,BVAEB,"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau",,,Josefstätter Straße 80,Wien,,1080,Wien,AUSTRIA,,,sozialversicherung_bund_30_20-08-2020,,,postoffice@bvaeb.sv.at,"Phone: +4350405, Fax: +435040522900",,,,,,,,,,,,
,,ÖGK,Österreichische Gesundheitskasse,,,"Haidingergasse 1, Postfach 7",Wien,,1006,Wien,AUSTRIA,,,sozialversicherung_bund_31_20-08-2020,,,office@oegk.at,"Phone: +43507660, Fax: ",,,,,,,,,,,,
,,SVS,Sozialversicherungsanstalt der Selbstständigen,,,Wiedner Hauptstraße 84-86,Wien Postfach,,1051,Wien,AUSTRIA,,,sozialversicherung_bund_32_20-08-2020,,,dsb@svs.at,"Phone: +4350808808, Fax: ",,,,,,,,,,,,
,,Allianz Vorsorgekasse,Allianz Vorsorgekasse AG,,,Hietzinger Kai 101-105,Wien,,1130,Wien,AUSTRIA,,,sozialversicherung_bund_33_20-08-2020,,,servicekasse@allianz.at,"Phone: +435900980181, Fax: +435900940128",,,,,,,,,,,,
,,APK Vorsorgekasse,APK Vorsorgekasse AG,,,Thomas-Klestil-Platz 13,Wien,,1030,Wien,AUSTRIA,,,sozialversicherung_bund_34_20-08-2020,,,office@apk-vk.at,"Phone: +435027550, Fax: +43502755609",,,,,,,,,,,,
,,BONUS Vorsorgekasse,BONUS Vorsorgekasse AG,,,Traungasse 14-16,Wien,,1030,Wien,AUSTRIA,,,sozialversicherung_bund_35_20-08-2020,,,kundenservice@bonusvorsorge.at,"Phone: +4319949974, Fax: +43199499741999",,,,,,,,,,,,
,,BUAK Betriebliche Vorsorgekasse,BUAK Betriebliche Vorsorgekasse GesmbH,,,Kliebergasse 1a,Wien,,1050,Wien,AUSTRIA,,,sozialversicherung_bund_36_20-08-2020,,,buak-bvk@buak.at,"Phone: +435795793000, Fax: +4357957993099",,,,,,,,,,,,
,,fair-finance Vorsorgekasse,fair-finance Vorsorgekasse AG,,,Alser Straße 21,Wien,,1080,Wien,AUSTRIA,,,sozialversicherung_bund_37_20-08-2020,,,office@fair-finance.at,"Phone: +43140571710, Fax: +431405717171",,,,,,,,,,,,
,,Niederösterreichische Vorsorgekasse,Niederösterreichische Vorsorgekasse AG,,,Neue Herrengasse 10,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,sozialversicherung_bund_38_22-08-2020,,,office@noevk.at,"Phone: +432742905557100, Fax: +432742905557120",,,,,,,,,,,,
,,Valida Plus,Valida Plus AG,,,Mooslackengasse 12,Wien,,1190,Wien,AUSTRIA,,,sozialversicherung_bund_39_20-08-2020,,,office@valida.at,"Phone: +431316480, Fax: +431316486010",,,,,,,,,,,,
,,VBV – Vorsorgekasse,VBV – Vorsorgekasse AG,,,Obere Donaustraße 49-53,Wien,,1020,Wien,AUSTRIA,,,sozialversicherung_bund_40_20-08-2020,,,info@vorsorgekasse.at,"Phone: +431217018500, Fax: +4312170178260",,,,,,,,,,,,
,,HBLFA Tirol,Höhere Bundeslehr- und Forschungsanstalt für Landwirtschaft und Ernährung sowie Lebensmittel- und Biotechnologie Tirol,,,Rotholz 50,Jenbach,,6200,Tirol,AUSTRIA,,,bundesschulen_bund_35_20-08-2020,,,schule@hblfa-tirol.at,"Phone: +43524462262, Fax: +43524462262930",,,,,,,,,,,,
,,Bundeskammer der ZiviltechnikerInnen,Bundeskammer der ZiviltechnikerInnen,,,Karlsgasse 9/2,Wien,,1040,Wien,AUSTRIA,,,kammern_bund_1_18-08-2020,,,office@arching.at,"Phone: +4315055807, Fax: +4315053211",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer,Kammer der Steuerberater und Wirtschaftsprüfer,,,Schönbrunner Straße 222-228,Wien,,1120,Wien,AUSTRIA,,,kammern_bund_2_18-08-2020,,,office@ksw.or.at,"Phone: +431811730, Fax: +43181173100",,,,,,,,,,,,
,,Arbeiterkammer,Kammer für Arbeiter und Angestellte für Wien als Büro der Bundesarbeitskammer,,,Prinz-Eugen-Straße 20-22,Wien,,1040,Wien,AUSTRIA,,,kammern_bund_3_18-08-2020,,,akmailbox@akwien.at,"Phone: +431501650, Fax: ",,,,,,,,,,,,
,,Apothekerkammer,Österreichische Apothekerkammer,,,Spitalgasse 31,Wien,,1090,Wien,AUSTRIA,,,kammern_bund_4_18-08-2020,,,info@apotheker.or.at,"Phone: +43140414100, Fax: +4314088440",,,,,,,,,,,,
,,Ärztekammer,Österreichische Ärztekammer,,,Weihburggasse 10-12,Wien,,1010,Wien,AUSTRIA,,,kammern_bund_5_18-08-2020,,,post@aerztekammer.at,"Phone: +431514063000, Fax: +431514063042",,,,,,,,,,,,
,,Notariatskammer,Österreichische Notariatskammer,,,Landesgerichtsstraße 20,Wien,,1010,Wien,AUSTRIA,,,kammern_bund_6_18-08-2020,,,kammer@notar.or.at,"Phone: +43140245090, Fax: +4314063475",,,,,,,,,,,,
,,Patentanwaltskammer,Österreichische Patentanwaltskammer,,,Linke Wienzeile 4/1/9,Wien,,1060,Wien,AUSTRIA,,,kammern_bund_7_18-08-2020,,,info@oepak.at,"Phone: +4315234382, Fax: +438109554103327",,,,,,,,,,,,
,,Tierärztekammer,Österreichische Tierärztekammer,,,Hietzinger Kai 87,Wien,,1130,Wien,AUSTRIA,,,kammern_bund_8_18-08-2020,,,oe@tieraerztekammer.at,"Phone: +4315121766, Fax: +4315121470",,,,,,,,,,,,
,,Zahnärztekammer,Österreichische Zahnärztekammer,,,Kohlmarkt 11/6,Wien,,1010,Wien,AUSTRIA,,,kammern_bund_9_18-08-2020,,,office@zahnaerztekammer.at,"Phone: +4350511, Fax: +43505111167",,,,,,,,,,,,
,,Österreichischer Landarbeiterkammertag,Österreichischer Landarbeiterkammertag,,,Marco d´Avianogasse 1/1,Wien,,1015,Wien,AUSTRIA,,,kammern_bund_10_18-08-2020,,,oelakt@landarbeiterkammer.at,"Phone: +4315122331, Fax: +431512233170",,,,,,,,,,,,
,,Österreichischer Rechtsanwaltskammertag,Österreichischer Rechtsanwaltskammertag,,,Wollzeile 1-3,Wien,,1010,Wien,AUSTRIA,,,kammern_bund_11_18-08-2020,,,rechtsanwaelte@oerak.at,"Phone: +43153512750, Fax: +431535127513",,,,,,,,,,,,
,,Pharmazeutische Gehaltskasse,Pharmazeutische Gehaltskasse für Österreich,,,Spitalgasse 31,Wien,,1090,Wien,AUSTRIA,,,kammern_bund_12_18-08-2020,,,office@gk.or.at,"Phone: +43140414200, Fax: +43140414249",,,,,,,,,,,,
,,Wirtschaftskammer,Wirtschaftskammer Österreich,,,Wiedner Hauptstraße 63,Wien,,1045,Wien,AUSTRIA,,,kammern_bund_13_18-08-2020,,,office@wko.at,"Phone: +43590900, Fax: +43590900250",,,,,,,,,,,,
,,ASFINAG,Autobahnen- und Schnellstraßen Finanzierungs-Aktiengesellschaft,,,"Rotenturmstraße 5-9, Postfach 983",Wien Postfach,,1011,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_1_21-08-2020,,,office@asfinag.at,"Phone: +435010810000, Fax: +435010810020",,,,,,,,,,,,
,,BIG,Bundesimmobiliengesellschaft m.b.H.,,,Trabrennstraße 2c,Wien,,1020,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_2_21-08-2020,,,office@big.at,"Phone: +43502440, Fax: +43502442211",,,,,,,,,,,,
,,Österreichische Bundesforste,Österreichische Bundesforste AG,,,Pummergasse 10-12,Purkersdorf,,3002,Niederösterreich,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_3_21-08-2020,,,bundesforste@bundesforste.at,"Phone: +4322316000, Fax: ",,,,,,,,,,,,
,,GIS,GIS Gebühren Info Service GmbH,,,"Faulmanngasse 4, Postfach 1000",Wien Postfach,,1051,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_4_21-08-2020,,,kundenservice@gis.at,"Phone: +4350200, Fax: +4350200300",,,,,,,,,,,,
,,AMS,Arbeitsmarktservice,,,Treustraße 35-43,Wien,,1200,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_5_21-08-2020,,,ams.oesterreich@ams.at,"Phone: +4350904199, Fax: +4350904188",,,,,,,,,,,,
,,Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,,,"Parlament, Dr.-Karl-Renner-Ring 3",Wien-Parlament,,1017,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_6_21-08-2020,,,nf-sekretariat@nationalfonds.org,"Phone: +4314081263, Fax: ",,,,,,,,,,,,
,,Bundesbeschaffung,Bundesbeschaffung GmbH,,,Lassallestraße 9b,Wien,,1020,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_7_21-08-2020,,,office@bbg.gv.at,"Phone: +431245700, Fax: +4312457099",,,,,,,,,,,,
,,BRZ,Bundesrechenzentrum GmbH,,,Hintere Zollamtsstraße 4,Wien,,1030,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_8_21-08-2020,,,kommunikation@brz.gv.at,"Phone: +431711230, Fax: ",,,,,,,,,,,,
,,Bundesstelle für Sektenfragen,Bundesstelle für Sektenfragen,,,Wollzeile 12/2/19,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_9_21-08-2020,,,bundesstelle@sektenfragen.at,"Phone: +4315130460, Fax: +431513046030",,,,,,,,,,,,
,,ÖNB,Österreichische Nationalbibliothek,,,"Josefsplatz 1, Postfach 25",Wien,,1015,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_10_21-08-2020,,,onb@onb.ac.at,"Phone: +43153410, Fax: +43153410280",,,,,,,,,,,,
,,Volksoper,Volksoper Wien,,,Währinger Straße 78,Wien,,1090,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_11_21-08-2020,,,office@volksoper.at,"Phone: +431514440, Fax: +431514443215",,,,,,,,,,,,
,,Bundestheater Holding,Bundestheater-Holding GmbH,,,Goethegasse 1,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_12_21-08-2020,,,office@bundestheater.at,"Phone: +431514440, Fax: ",,,,,,,,,,,,
,,Burgtheater,Burgtheater GmbH,,,Universitätsring 2,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_13_21-08-2020,,,info@burgtheater.at,"Phone: +431514444545, Fax: ",,,,,,,,,,,,
,,Kunsthistorisches Museum,Kunsthistorisches Museum,,,Burgring 5,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_14_21-08-2020,,,info@khm.at,"Phone: +431525240, Fax: +431525244099",,,,,,,,,,,,
,,Naturhistorisches Museum,Naturhistorisches Museum Wien,,,Burgring 7,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_15_21-08-2020,,,info@nhm-wien.ac.at,"Phone: +431521770, Fax: +43152177578",,,,,,,,,,,,
,,Technisches Museum,Technisches Museum Wien mit Österreichischer Mediathek,,,Mariahilfer Straße 212,Wien,,1140,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_16_21-08-2020,,,museumsbox@tmw.at,"Phone: +431899980, Fax: ",,,,,,,,,,,,
,,Agentur für Passagier- und Fahrgastrechte,Österreichische Gesellschaft für Schienenmarktregulierung mit beschränkter Haftung,,,Linke Wienzeile 4/1/6,Wien,,1060,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_17_21-08-2020,,,office@schienencontrol.gv.at,"Phone: +4315050707, Fax: ",,,,,,,,,,,,
,,Austria Wirtschaftsservice,Austria Wirtschaftsservice Gesellschaft m.b.H.,,,Walcherstraße 11A,Wien,,1020,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_18_21-08-2020,,,post@aws.at,"Phone: +431501750, Fax: +43150175900",,,,,,,,,,,,
,,Staatsoper,Wiener Staatsoper GmbH,,,Opernring 2,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_19_21-08-2020,,,information@wiener-staatsoper.at,"Phone: +431514442250, Fax: +431514442259",,,,,,,,,,,,
,,ORF,Österreichischer Rundfunk,,,Würzburggasse 30,Wien,,1136,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_20_21-08-2020,,,kundendienst@orf.at,"Phone: +431878780, Fax: +4318787830",,,,,,,,,,,,
,,Spanische Hofreitschule – Lipizzanergestüt Piber,Spanische Hofreitschule – Lipizzanergestüt Piber,,,Michaelerplatz 1,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_21_21-08-2020,,,office@srs.at,"Phone: +4315339031, Fax: ",,,,,,,,,,,,
,,AGES,Österreichische Agentur für Gesundheit und Ernährungssicherheit GmbH,,,Spargelfeldstrasse 191,Wien,,1220,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_22_20-08-2020,,,management@ages.at,"Phone: +43505550, Fax: +435055522019",,,,,,,,,,,,
,,Landwirtschaftliche Bundesversuchswirtschaften,Landwirtschaftliche Bundesversuchswirtschaften GmbH,,,Rottenhauserstraße 32,Wieselburg,,3250,Niederösterreich,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_23_21-08-2020,,,office@bvw.at,"Phone: +437416522410, Fax: +4374165224115",,,,,,,,,,,,
,,LFRZ,"Land-, forst- und wasserwirtschaftliches Rechenzentrum GmbH",,,Hintere Zollamtsstraße 4,Wien,,1030,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_24_20-08-2020,,,office@lfrz.gv.at,"Phone: +431331760, Fax: ",,,,,,,,,,,,
,,WSR,Wirtschafts- und Sozialwissenschaftliches Rechenzentrum,,,Arsenal Objekt 20,Wien,,1030,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_25_20-08-2020,,,info@wsr.ac.at,"Phone: +4317981122, Fax: +431798112250",,,,,,,,,,,,
,,ÖBAG,Österreichische Beteiligungs AG,,,Kolingasse 14-16,Wien,,1090,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_26_21-08-2020,,,kontakt@oebag.gv.at,"Phone: +431711140, Fax: ",,,,,,,,,,,,
,,OeSD,Österreichische Staatsdruckerei GmbH,,,Tenschertstraße 7,Wien,,1239,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_27_22-08-2020,,,office@staatsdruckerei.at,"Phone: +431206660, Fax: +43120666100",,,,,,,,,,,,
,,Dorotheum,Dorotheum GmbH & Co KG,,,Dorotheergasse 17,Wien,,1010,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_28_22-08-2020,,,client.services@dorotheum.at,"Phone: +431515600, Fax: +43151560443",,,,,,,,,,,,
,,Austria Tabak,JTI Austria GmbH,,,Erdberger Lände 26a/71,Wien,,1030,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_29_22-08-2020,,,konsumentenservice@jti.com,"Phone: +431313421, Fax: ",,,,,,,,,,,,
,,Vamed,Vamed AG,,,Sterngasse 5,Wien,,1230,Wien,AUSTRIA,,,staatsnahe_staatseigene_unternehmen_bund_30_22-08-2020,,,office@vamed.com,"Phone: +431601270, Fax: +43160127108",,,,,,,,,,,,
,,"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz","Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz",,,Stubenring 1,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_1_20-08-2020,,,post@sozialministerium.at,"Phone: +431711000, Fax: +4317158258",,,,,,,,,,,,
,,"Bundesministerium für Bildung, Wissenschaft und Forschung","Bundesministerium für Bildung, Wissenschaft und Forschung",,,Minoritenplatz 5,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_2_20-08-2020,,,ministerium@bmbwf.gv.at,"Phone: +431531200, Fax: +431531203099",,,,,,,,,,,,
,,Bundesministerium für europäische und internationale Angelegenheiten,Bundesministerium für europäische und internationale Angelegenheiten,,,Minoritenplatz 8,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_3_20-08-2020,,,post@bmeia.gv.at,"Phone: +43501150, Fax: +43501159",,,,,,,,,,,,
,,"Bundesministerium für Arbeit, Familie und Jugend","Bundesministerium für Arbeit, Familie und Jugend",,,Untere Donaustraße 13 - 15,Wien,,1020,Wien,AUSTRIA,,,bundesbehoerden_bund_4_20-08-2020,,,office@bmafj.gv.at,"Phone: +431711000, Fax: ",,,,,,,,,,,,
,,Bundesministerium für Finanzen,Bundesministerium für Finanzen,,,Johannesgasse 5,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_5_20-08-2020,,,post@bmf.gv.at,"Phone: +431514330, Fax: ",,,,,,,,,,,,
,,Bundesministerium für Inneres,Bundesministerium für Inneres,,,Herrengasse 7,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_6_20-08-2020,,,post@bmi.gv.at,"Phone: +431531260, Fax: +43153126108613",,,,,,,,,,,,
,,Bundesministerium für Justiz,Bundesministerium für Justiz,,,Museumstraße 7,Wien,,1070,Wien,AUSTRIA,,,bundesbehoerden_bund_7_20-08-2020,,,post@bmj.gv.at,"Phone: +4315263686, Fax: ",,,,,,,,,,,,
,,"Bundesministerium für Landwirtschaft, Regionen und Tourismus","Bundesministerium für Landwirtschaft, Regionen und Tourismus",,,Stubenring 1,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_8_20-08-2020,,,office@bmlrt.gv.at,"Phone: +431711000, Fax: +43171100606503",,,,,,,,,,,,
,,Bundesministerium für Landesverteidigung,Bundesministerium für Landesverteidigung,,,Roßauer Lände 1,Wien,,1090,Wien,AUSTRIA,,,bundesbehoerden_bund_9_20-08-2020,,,buergerservice@bmlv.gv.at,"Phone: +43502011021160, Fax: ",,,,,,,,,,,,
,,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie","Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",,,Radetzkystraße 2,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_10_20-08-2020,,,servicebuero@bmk.gv.at,"Phone: +43171162650, Fax: ",,,,,,,,,,,,
,,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport","Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",,,Radetzkystraße 2,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_11_20-08-2020,,,buergerservice@bmkoes.gv.at,"Phone: +431716060, Fax: ",,,,,,,,,,,,
,,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesministerium für Digitalisierung und Wirtschaftsstandort,,,Stubenring 1,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_12_20-08-2020,,,service@bmdw.gv.at,"Phone: +431711000, Fax: ",,,,,,,,,,,,
,,Sozialministeriumservice,Bundesamt für Soziales und Behindertenwesen – Sozialministeriumservice,,,Babenbergerstraße 5,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_13_20-08-2020,,,post@sozialministeriumservice.at,"Phone: +4359988, Fax: +431588312266",,,,,,,,,,,,
,,Beschussamt Wien,Beschussamt Wien,,,Wielandweg 27,Wien,,1220,Wien,AUSTRIA,,,bundesbehoerden_bund_14_20-08-2020,,,office-wien@beschussamt.gv.at,"Phone: +43173462680, Fax: +431734626812",,,,,,,,,,,,
